# wave       flux     unc      tunc
  2.36000     5.20     0.16     0.16
  2.36013     5.19     0.16     0.16
  2.36025     5.17     0.16     0.16
  2.36038     5.15     0.16     0.16
  2.36050     5.13     0.16     0.16
  2.36063     5.11     0.16     0.16
  2.36075     5.10     0.16     0.16
  2.36088     5.08     0.16     0.16
  2.36100     5.08     0.16     0.16
  2.36113     5.07     0.16     0.16
  2.36125     5.06     0.16     0.16
  2.36138     5.06     0.16     0.16
  2.36150     5.06     0.16     0.16
  2.36163     5.05     0.16     0.16
  2.36175     5.05     0.16     0.16
  2.36188     5.05     0.16     0.16
  2.36200     5.05     0.16     0.16
  2.36213     5.04     0.16     0.16
  2.36225     5.03     0.16     0.16
  2.36238     5.02     0.16     0.16
  2.36250     5.02     0.16     0.16
  2.36263     5.02     0.16     0.16
  2.36275     5.03     0.16     0.16
  2.36288     5.04     0.16     0.16
  2.36300     5.06     0.16     0.16
  2.36313     5.10     0.16     0.16
  2.36325     5.13     0.16     0.16
  2.36338     5.17     0.16     0.16
  2.36350     5.21     0.16     0.16
  2.36363     5.25     0.16     0.16
  2.36375     5.28     0.16     0.16
  2.36388     5.31     0.16     0.16
  2.36400     5.34     0.16     0.16
  2.36413     5.35     0.16     0.16
  2.36425     5.37     0.16     0.16
  2.36438     5.37     0.16     0.16
  2.36450     5.38     0.16     0.16
  2.36463     5.37     0.16     0.16
  2.36475     5.37     0.16     0.16
  2.36488     5.36     0.15     0.15
  2.36500     5.35     0.15     0.15
  2.36513     5.33     0.15     0.15
  2.36525     5.32     0.15     0.15
  2.36538     5.30     0.15     0.15
  2.36550     5.29     0.15     0.15
  2.36563     5.27     0.15     0.15
  2.36575     5.25     0.15     0.15
  2.36588     5.23     0.15     0.15
  2.36600     5.21     0.15     0.15
  2.36613     5.19     0.15     0.15
  2.36625     5.17     0.15     0.15
  2.36638     5.15     0.15     0.15
  2.36650     5.13     0.15     0.15
  2.36663     5.11     0.15     0.15
  2.36675     5.09     0.15     0.15
  2.36688     5.07     0.15     0.15
  2.36700     5.05     0.15     0.15
  2.36713     5.03     0.15     0.15
  2.36725     5.01     0.15     0.15
  2.36738     5.00     0.14     0.14
  2.36750     5.00     0.14     0.14
  2.36763     5.02     0.14     0.14
  2.36775     5.04     0.14     0.14
  2.36788     5.09     0.14     0.14
  2.36800     5.13     0.14     0.14
  2.36813     5.19     0.14     0.14
  2.36825     5.24     0.14     0.14
  2.36838     5.29     0.14     0.14
  2.36850     5.32     0.14     0.14
  2.36863     5.35     0.14     0.14
  2.36875     5.36     0.14     0.14
  2.36888     5.37     0.14     0.14
  2.36900     5.36     0.14     0.14
  2.36913     5.33     0.14     0.14
  2.36925     5.31     0.14     0.14
  2.36938     5.28     0.14     0.14
  2.36950     5.25     0.14     0.14
  2.36963     5.22     0.14     0.14
  2.36975     5.19     0.14     0.14
  2.36988     5.18     0.14     0.14
  2.37000     5.18     0.14     0.14
  2.37013     5.18     0.14     0.14
  2.37025     5.20     0.14     0.14
  2.37038     5.22     0.14     0.14
  2.37050     5.25     0.14     0.14
  2.37063     5.28     0.14     0.14
  2.37075     5.30     0.14     0.14
  2.37088     5.31     0.14     0.14
  2.37100     5.32     0.14     0.14
  2.37113     5.32     0.14     0.14
  2.37125     5.30     0.14     0.14
  2.37138     5.28     0.14     0.14
  2.37150     5.25     0.14     0.14
  2.37163     5.22     0.14     0.14
  2.37175     5.19     0.14     0.14
  2.37188     5.16     0.14     0.14
  2.37200     5.14     0.14     0.14
  2.37213     5.12     0.14     0.14
  2.37225     5.12     0.13     0.13
  2.37238     5.11     0.13     0.13
  2.37250     5.12     0.13     0.13
  2.37263     5.13     0.13     0.13
  2.37275     5.15     0.13     0.13
  2.37288     5.17     0.13     0.13
  2.37300     5.18     0.13     0.13
  2.37313     5.20     0.13     0.13
  2.37325     5.21     0.13     0.13
  2.37338     5.23     0.13     0.13
  2.37350     5.23     0.13     0.13
  2.37363     5.25     0.13     0.13
  2.37375     5.26     0.13     0.13
  2.37388     5.27     0.13     0.13
  2.37400     5.28     0.13     0.13
  2.37413     5.29     0.13     0.13
  2.37425     5.30     0.13     0.13
  2.37438     5.31     0.13     0.13
  2.37450     5.31     0.13     0.13
  2.37463     5.31     0.12     0.12
  2.37475     5.30     0.12     0.12
  2.37488     5.29     0.12     0.12
  2.37500     5.29     0.12     0.12
  2.37513     5.27     0.12     0.12
  2.37525     5.25     0.12     0.12
  2.37538     5.23     0.12     0.12
  2.37550     5.21     0.12     0.12
  2.37563     5.17     0.12     0.12
  2.37575     5.15     0.12     0.12
  2.37588     5.12     0.12     0.12
  2.37600     5.09     0.12     0.12
  2.37613     5.07     0.12     0.12
  2.37625     5.06     0.12     0.12
  2.37638     5.04     0.12     0.12
  2.37650     5.04     0.12     0.12
  2.37663     5.06     0.12     0.12
  2.37675     5.07     0.12     0.12
  2.37688     5.08     0.12     0.12
  2.37700     5.10     0.12     0.12
  2.37713     5.10     0.12     0.12
  2.37725     5.10     0.12     0.12
  2.37738     5.10     0.12     0.12
  2.37750     5.08     0.12     0.12
  2.37763     5.07     0.12     0.12
  2.37775     5.04     0.12     0.12
  2.37788     5.02     0.12     0.12
  2.37800     4.99     0.12     0.12
  2.37813     4.96     0.12     0.12
  2.37825     4.94     0.12     0.12
  2.37838     4.92     0.12     0.12
  2.37850     4.90     0.12     0.12
  2.37863     4.89     0.12     0.12
  2.37875     4.88     0.12     0.12
  2.37888     4.87     0.12     0.12
  2.37900     4.88     0.12     0.12
  2.37913     4.89     0.12     0.12
  2.37925     4.91     0.12     0.12
  2.37938     4.95     0.12     0.12
  2.37950     4.99     0.11     0.11
  2.37963     5.03     0.11     0.11
  2.37975     5.08     0.11     0.11
  2.37988     5.12     0.11     0.11
  2.38000     5.15     0.11     0.11
  2.38013     5.18     0.11     0.11
  2.38025     5.20     0.11     0.11
  2.38038     5.21     0.11     0.11
  2.38050     5.21     0.11     0.11
  2.38063     5.21     0.11     0.11
  2.38075     5.20     0.11     0.11
  2.38088     5.19     0.11     0.11
  2.38100     5.18     0.11     0.11
  2.38113     5.17     0.11     0.11
  2.38125     5.15     0.11     0.11
  2.38138     5.14     0.11     0.11
  2.38150     5.13     0.11     0.11
  2.38163     5.12     0.11     0.11
  2.38175     5.11     0.11     0.11
  2.38188     5.10     0.11     0.11
  2.38200     5.10     0.11     0.11
  2.38213     5.10     0.10     0.10
  2.38225     5.10     0.10     0.10
  2.38238     5.10     0.10     0.10
  2.38250     5.10     0.10     0.10
  2.38263     5.10     0.10     0.10
  2.38275     5.10     0.10     0.10
  2.38288     5.09     0.10     0.10
  2.38300     5.09     0.10     0.10
  2.38313     5.08     0.10     0.10
  2.38325     5.07     0.10     0.10
  2.38338     5.07     0.10     0.10
  2.38350     5.08     0.10     0.10
  2.38363     5.08     0.10     0.10
  2.38375     5.09     0.10     0.10
  2.38388     5.11     0.10     0.10
  2.38400     5.12     0.10     0.10
  2.38413     5.14     0.10     0.10
  2.38425     5.16     0.10     0.10
  2.38438     5.17     0.10     0.10
  2.38450     5.19     0.10     0.10
  2.38463     5.19     0.10     0.10
  2.38475     5.20     0.10     0.10
  2.38488     5.20     0.10     0.10
  2.38500     5.20     0.09     0.09
  2.38513     5.20     0.09     0.09
  2.38525     5.20     0.09     0.09
  2.38538     5.20     0.09     0.09
  2.38550     5.20     0.09     0.09
  2.38563     5.22     0.09     0.09
  2.38575     5.22     0.09     0.09
  2.38588     5.24     0.09     0.09
  2.38600     5.25     0.09     0.09
  2.38613     5.26     0.09     0.09
  2.38625     5.28     0.09     0.09
  2.38638     5.28     0.09     0.09
  2.38650     5.30     0.09     0.09
  2.38663     5.29     0.09     0.09
  2.38675     5.30     0.09     0.09
  2.38688     5.31     0.09     0.09
  2.38700     5.31     0.09     0.09
  2.38713     5.31     0.09     0.09
  2.38725     5.31     0.09     0.09
  2.38738     5.31     0.09     0.09
  2.38750     5.32     0.09     0.09
  2.38763     5.33     0.09     0.09
  2.38775     5.33     0.09     0.09
  2.38788     5.33     0.09     0.09
  2.38800     5.33     0.09     0.09
  2.38813     5.32     0.09     0.09
  2.38825     5.32     0.09     0.09
  2.38838     5.31     0.09     0.09
  2.38850     5.30     0.09     0.09
  2.38863     5.28     0.09     0.09
  2.38875     5.26     0.09     0.09
  2.38888     5.24     0.09     0.09
  2.38900     5.22     0.09     0.09
  2.38913     5.20     0.09     0.09
  2.38925     5.18     0.09     0.09
  2.38938     5.16     0.09     0.09
