#     wave         flux         unc
      5.24282      125.247      1.95920
      5.27380      108.094      1.84553
      5.30479      85.8754      1.58283
      5.33577      70.9560      1.39973
      5.36676      59.9981      1.31669
      5.39774      60.8385      1.33735
      5.42873      67.8502      1.37292
      5.45971      75.1968      1.38086
      5.49070      87.3403      1.44993
      5.52169      95.1280      1.51275
      5.55267      98.5745      1.59358
      5.58366      121.797      1.81624
      5.61464      160.784      2.11985
      5.64563      191.662      2.33492
      5.67661      203.353      2.42629
      5.70760      223.015      2.61058
      5.73858      214.609      2.64088
      5.76957      198.789      2.59309
      5.80055      190.521      2.52870
      5.83154      199.484      2.47781
      5.86252      226.370      2.53124
      5.89351      230.597      2.45917
      5.92450      224.476      2.36366
      5.95548      251.993      2.44271
      5.98647      306.499      2.66797
      6.01745      363.632      2.75668
      6.04844      393.531      2.80253
      6.07942      435.748      2.89519
      6.11041      542.263      3.17624
      6.14139      820.782      3.89061
      6.17238      1248.28      4.85173
      6.20336      1568.18      5.53888
      6.23435      1513.09      5.56872
      6.26533      1249.87      5.24267
      6.29632      994.632      4.94319
      6.32730      802.205      4.70658
      6.35829      683.358      4.57674
      6.38928      593.439      4.43063
      6.42026      515.932      4.23934
      6.45125      468.467      4.49140
      6.48223      414.467      3.92595
      6.51322      385.126      4.12083
      6.54420      377.474      3.83210
      6.57519      388.159      3.82107
      6.60617      415.241      3.79917
      6.63716      437.994      3.94692
      6.66814      433.183      3.45788
      6.69913      433.409      3.29301
      6.73011      442.186      3.27649
      6.76110      442.442      3.27115
      6.79209      449.513      3.38643
      6.82307      458.850      3.59085
      6.85406      478.513      3.53117
      6.88504      537.816      3.79922
      6.91603      529.932      3.89138
      6.94701      484.690      3.88183
      6.97800      466.284      4.01619
      7.00898      482.897      4.28618
      7.03997      501.487      4.56262
      7.07095      527.870      4.77721
      7.10194      565.822      5.01535
      7.13292      605.925      5.29542
      7.16391      646.360      5.56981
      7.19490      684.456      5.79506
      7.22588      737.228      6.10977
      7.25687      808.799      6.27865
      7.28785      868.653      6.81639
      7.31884      945.733      6.35347
      7.34982      1029.37      6.41309
      7.38081      1143.24      6.60472
      7.41179      1273.72      6.60601
      7.44278      1372.99      6.75465
      7.47376      1478.38      7.06034
      7.50475      1595.02      7.55754
      7.53371      1737.93      6.13623
      7.53573      1725.22      7.80359
      7.56672      1844.48      8.24906
      7.59580      1923.84      6.43432
      7.59770      1911.01      9.75463
      7.65789      1779.75      6.18091
      7.71999      1622.48      5.84227
      7.78208      1562.84      5.54301
      7.84418      1485.01      5.51501
      7.90627      1331.51      5.37493
      7.96836      1150.16      5.08215
      8.03046      993.804      4.93304
      8.09255      861.596      4.48611
      8.15465      820.493      4.51598
      8.21674      828.962      4.67732
      8.27884      837.919      4.74848
      8.34093      845.286      4.58175
      8.40302      870.517      4.13298
      8.46512      960.536      4.12411
      8.52721      1063.99      4.16808
      8.58931      1095.12      4.05174
      8.65140      982.933      3.64223
      8.71350      780.712      3.07635
      8.77559      608.068      2.60028
      8.83768      480.273      2.30583
      8.89978      399.296      2.03829
      8.96187      343.397      1.94992
      9.02397      308.867      1.86036
      9.08606      289.078      1.78043
      9.14816      278.928      1.83590
      9.21025      270.132      1.82835
      9.27234      258.372      1.85044
      9.33444      251.974      1.81054
      9.39653      246.424      1.86168
      9.45863      244.714      1.95770
      9.52072      250.688      2.11500
      9.58282      288.573      2.14298
      9.64491      349.195      2.40356
      9.70700      294.541      2.30166
      9.76910      235.993      2.06892
      9.83119      223.056      1.88314
      9.89329      217.511      1.78412
      9.95538      216.671      1.70467
      10.0175      219.415      1.63836
      10.0796      215.346      1.55396
      10.1417      205.878      1.46399
      10.2038      202.481      1.44110
      10.2659      201.360      1.48800
      10.3279      203.992      1.41147
      10.3900      210.856      1.40399
      10.4521      223.745      1.47623
      10.5142      242.049      1.48768
      10.5763      270.411      1.65017
      10.6384      294.619      1.78602
      10.7005      322.986      1.79108
      10.7626      349.321      1.89915
      10.8247      379.866      2.05781
      10.8868      453.825      2.34327
      10.9489      586.589      2.76971
      11.0110      701.894      3.17007
      11.0731      819.023      3.56234
      11.1352      1243.26      4.56027
      11.1973      1884.51      5.87568
      11.2594      2003.31      5.88502
      11.3215      1577.75      4.99306
      11.3835      1145.70      4.07045
      11.4456      890.967      3.47012
      11.5077      729.736      3.04627
      11.5698      627.423      2.74638
      11.6319      568.079      2.54849
      11.6940      544.097      2.43476
      11.7561      546.661      2.38387
      11.8182      561.669      2.41719
      11.8803      589.220      2.43666
      11.9424      609.983      2.48816
      12.0045      605.395      2.46533
      12.0666      578.851      2.57200
      12.1287      555.510      2.55782
      12.1908      561.543      2.62678
      12.2529      621.011      2.83153
      12.3150      633.994      2.95951
      12.3771      626.447      3.05318
      12.4391      672.157      3.26538
      12.5012      727.003      3.51739
      12.5633      796.516      3.82524
      12.6254      875.310      4.15477
      12.6875      941.981      4.39718
      12.7496      956.586      4.43849
      12.8117      849.392      4.37897
      12.8738      661.956      3.49506
      12.9359      522.344      2.98088
      12.9980      462.503      2.56675
      13.0601      433.832      2.42503
      13.1222      425.181      2.35213
      13.1843      420.067      2.30218
      13.2464      417.227      2.31706
      13.3085      412.413      2.28139
      13.3706      421.281      2.27147
      13.4327      441.386      2.38118
      13.4948      468.172      2.53326
      13.5568      468.042      2.48249
      13.6189      437.872      2.47036
      13.6810      397.324      2.43282
      13.7431      362.454      2.40965
      13.8052      340.849      2.44273
      13.8673      335.473      2.53483
      13.9294      337.252      2.67238
      13.9915      341.339      2.82638
      14.0536      339.808      2.97817
      14.1157      344.775      3.13525
      14.1778      354.201      3.13461
      14.2399      357.539      3.02136
      14.3020      345.669      2.81271
      14.3641      332.279      2.57658
      14.4262      323.634      2.41242
      14.4883      323.041      2.32183
      14.5504      319.690      2.21740
      14.6124      315.765      2.13403
      14.6745      301.464      1.98736
      14.7366      296.116      1.86687
